Team,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Delhi Daredevils,C5 - Top_Four,C5 - Top_Four,C4 - Round_Robin,10th,C5 - Top_Four,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin
Gujarat Lions,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C5 - Top_Four,C4 - Round_Robin
Kings XI Punjab,C5 - Top_Four,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C6 - Runner_Up,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin
Kolkata Knight Riders,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C5 - Top_Four,C7 - Winner,C4 - Round_Robin,C7 - Winner,C4 - Round_Robin,C5 - Top_Four,C5 - Top_Four
Mumbai Indians,C4 - Round_Robin,C4 - Round_Robin,C6 - Runner_Up,C5 - Top_Four,C5 - Top_Four,C7 - Winner,C5 - Top_Four,C7 - Winner,C4 - Round_Robin,C7 - Winner
Rising Pune Supergiants,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C4 - Round_Robin,C6 - Runner_Up
Royal Challengers Bangalore,C4 - Round_Robin,C6 - Runner_Up,C5 - Top_Four,C6 - Runner_Up,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C5 - Top_Four,C6 - Runner_Up,C4 - Round_Robin
Sunrisers Hyderabad,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C5 - Top_Four,C4 - Round_Robin,C4 - Round_Robin,C7 - Winner,C5 - Top_Four
Chennai Super Kings,C6 - Runner_Up,C5 - Top_Four,C7 - Winner,C7 - Winner,C6 - Runner_Up,C6 - Runner_Up,C5 - Top_Four,C6 - Runner_Up,C2 - Suspended,C2 - Suspended
Rajasthan Royals,C7 - Winner,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C5 - Top_Four,C4 - Round_Robin,C5 - Top_Four,C2 - Suspended,C2 - Suspended
Deccan Chargers,C4 - Round_Robin,C7 - Winner,C5 - Top_Four,C4 - Round_Robin,C4 - Round_Robin,C1 - Defunct,C1 - Defunct,C1 - Defunct,C1 - Defunct,C1 - Defunct
Pune Warriors,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C4 - Round_Robin,C4 - Round_Robin,C4 - Round_Robin,C1 - Defunct,C1 - Defunct,C1 - Defunct,C1 - Defunct
Kochi Tuskers Kerala,C3 - Did_Not_Play,C3 - Did_Not_Play,C3 - Did_Not_Play,C4 - Round_Robin,C1 - Defunct,C1 - Defunct,C1 - Defunct,C1 - Defunct,C1 - Defunct,C1 - Defunct