season,winners,runners_up,venue_of_final,player_of_the_series
2008,Rajasthan Royals,Chennai Super Kings,Mumbai,Shane Watson
2009,Deccan Chargers,Royal Challengers Bangalore,Johannesburg,Adam Gilchrist
2010,Chennai Super Kings,Mumbai Indians,Mumbai,Sachin Tendulkar
2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai,Chris Gayle
2012,Kolkata Knight Riders,Chennai Super Kings,Chennai,Sunil Narine
2013,Mumbai Indians,Chennai Super Kings,Kolkata,Shane Watson
2014,Kolkata Knight Riders,Kings XI Punjab,Bangalore,Glenn Maxwell
2015,Mumbai Indians,Chennai Super Kings,Kolkata,Andre Russell
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,Virat Kohli
2017,Mumbai Indians,Rising Pune Supergiants,Hyderabad,Ben Stokes
2018,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,Sunil Narine